time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,a0ea513e07d547d3ac68cf545e3a34ba,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,a0ea513e07d547d3ac68cf545e3a34ba,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,60a1e578ecaf419bafaba315c3aab337,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,60a1e578ecaf419bafaba315c3aab337,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,40ae5f7b28ca468982c3759d975abf7d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,40ae5f7b28ca468982c3759d975abf7d,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,bd9b74c8b01241de946e9d280457f411,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,bd9b74c8b01241de946e9d280457f411,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,1355acf784a04f68bb52a88599e41193,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,1355acf784a04f68bb52a88599e41193,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,890.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,b3eb91c744414da8bb8a2b5962aebdae,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,1e48c8f60d5d460c84173cd27f07368f,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,64a727dd62144bb48262409e317b0b26,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,a8d3600b40f742a9a6b95ca9bc5e6d86,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,8dd35deba3a8410ebf8cfa6660d597ce,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,d10cf781e41c49da8c72551991e66255,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-17 09:30:00-04:00,MLTrader,b3b25825dfdb46c49b01f939f88a13fc,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,MLTrader,a07ea1a94ed04671a37a1242b0330aa3,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,e983d9d81b19466ba44b561c3b2e904e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,e983d9d81b19466ba44b561c3b2e904e,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,785.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,cc3c43e634174cff9d269309bc735955,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,4dcf7db544714c93b25b8433a12190e6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,5cdcfdb7221b4cd08cfcee48a6c92706,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,2ec2d0d2c83a42428788bd0b61066d6c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,93814082be3b43de89a7c994253a3e0c,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,90e559b9e65447c4a350e1754bc292db,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,93814082be3b43de89a7c994253a3e0c,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,1675.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,90e559b9e65447c4a350e1754bc292db,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,1137.0,0.0
2020-05-13 09:30:00-04:00,MLTrader,d6a7bb23dfed43189e0e20856c8439a6,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MLTrader,14bff7d7f2e3447e9de532c1446e581d,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,1137.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,0cb07a3d83274a0bac9bc0fd531a02bc,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,0cb07a3d83274a0bac9bc0fd531a02bc,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,250.0,0.0
2020-06-22 09:30:00-04:00,MLTrader,488a8aa1788c4e85b177dd5802bc0b11,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,488a8aa1788c4e85b177dd5802bc0b11,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,378.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,3f56592545aa4a40a78cb84115d1b1b3,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,3dc91a28ac4f4b2f85f8ac38d5e0cc6d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,07bfc72c88244d23aae6f0d794cb7fde,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,ad41b225c86b49d0942dd681a134187d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,851944ab3c4049e0a6c823f207953ea9,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,3c0b36584dff439fb04b74ecffcc5844,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,851944ab3c4049e0a6c823f207953ea9,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,628.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,3c0b36584dff439fb04b74ecffcc5844,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,580.0,0.0
2020-12-01 09:30:00-05:00,MLTrader,d6d743d4552a4aeea6afb3c7f92354e2,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-01 09:30:00-05:00,MLTrader,45eac3d024e1414e80335ceadcf09d82,SPY,sell,limit,fill,1,day,0.0,1,stock,367.3920043945312,580.0,0.0
2021-07-16 09:30:00-04:00,MLTrader,2ab6a800574b44dca8a6ece7a1c284a3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTrader,2ab6a800574b44dca8a6ece7a1c284a3,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,228.0,0.0
2021-10-25 08:30:00-04:00,MLTrader,07a448f1162e4050965d7671abe144d6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-25 08:30:00-04:00,MLTrader,eb28ad6f20974d3aa70a916c3240609f,SPY,buy,stop,fill,1,day,0.0,1,stock,457.8105102539063,228.0,0.0
